date,nea,nea_subsidiary,ipp,import,total_energy_available,energy_export,inps_demand,energy_interruption,generation_deficit,energy_requirement,net_exchange_with_india
2022/09/15,9482,12503,18521,11,40517,9316,31201,0,0,31201,0
2022/09/26,9302,12852,20023,264,42441,8913,33528,0,0,33528,0
2022/09/11,10073,12887,19842,788,43589,8736,34853,0,0,34853,0
2022/09/18,6837,12141,19040,147,38164,8295,29870,0,0,29870,0
2022/09/17,6682,3948,17978,79,28687,5323,23364,260,0,23624,0
2022/09/22,10449,12511,18867,385,42211,8607,33605,0,0,33605,0
2022/09/10,8996,12557,19032,817,41403,9598,31805,8,0,31813,0
2022/09/05,10574,12864,19561,173,43172,8547,34625,10,0,34635,0
2022/09/30,9840,12919,20282,399,43440,9850,33590,60,0,33650,0
2022/09/19,9140,12891,19051,192,41274,9964,31310,15,0,31325,0
2022/09/20,9828,12836,18965,346,41975,7741,34234,140,0,34374,0
2022/09/16,8752,12337,17834,27,38950,9943,29007,190,0,29197,0
2022/09/12,10341,12889,19251,421,42902,8477,34425,0,0,34425,0
2022/09/07,11012,12479,18917,418,42826,8117,34709,480,0,35189,0
2022/09/14,10007,12688,19236,152,42083,9037,33046,0,0,33046,0
2022/09/27,8873,12618,18995,685,41170,8387,32783,230,0,33013,0
2022/10/07,5104,11650,15490,58,32302,9577,22725,0,0,22725,0
2022/09/21,10271,12860,17984,369,41484,8983,32501,0,0,32501,0
2022/10/04,5380,9309,18012,256,32957,9918,23039,0,0,23039,0
2022/10/06,4108,9973,17135,88,31304,9012,22292,20,0,22312,0
2022/10/09,7208,12862,16352,10,36432,9778,26654,10,0,26664,0
2022/09/24,9369,12909,19072,109,41459,8522,32937,0,0,32937,0
2022/09/06,10325,12791,19119,688,42923.519,8646,34278,200,0,34478,0
2022/10/02,9156,12054,20203,68,41481,9879,31602,80,0,31682,0
2022/10/03,7337,11172,18874,67,37449,10080,27369,0,0,27369,0
2022/09/28,10440,12914,20572,409,44335,7972,36362,0,0,36362,0
2022/09/08,10881,12729,18668,496,42774,7668,35106,0,0,35106,0
2022/09/13,9851,12748,19441,342,42382,10075,32308,15,0,32323,0
2022/09/09,9302,12732,18891,1047,41972,8285,33687,0,0,33687,0
2022/10/05,4364,9218,16641,81,30305,9770,20535,40,0,20575,0
2022/10/08,5708,12788,15229,40,33765,9778,23987,0,0,23987,0
2022/09/29,10219,12859,20114,614,43806,9086,34719,0,0,34719,0
2022/10/01,10050,12768,19267,0,42085,9400,32685,0,0,32685,0
2022/09/25,9609,12802,19556,102,42070,9871,32199,0,0,32199,0
2022/09/23,9727,12453,19428,283,41891,7629,34262,280,0,34542,0
2022/10/10,6764,12644,17034,101,36544,10180,26364,20,0,26384,0
2022/10/11,6215,12723,16933,92,35963,8600,27363,50,0,27413,0
2022/10/13,6942,12375,18638,105,38061,9387,28674,0,0,28674,-9282
2022/10/14,7086,12385,18727,133,38331,8345,29987,0,0,29987,-8211
2022/10/15,6814,12383,17623,104,36923,9653,27270,0,0,27270,-9549
2022/10/16,6711,11943,18030,310,36993,9966,27028,80,0,27108,-9656
2022/10/17,7103,10674,19471,151,37398,8003,29395,0,0,29395,-7852
2022/10/18,6567,10929,18462,133,36091,9225,26866,0,0,26866,-9092
2022/10/19,7185,10314,18254,70,35824,7928,27896,30,0,27926,-7858
2022/10/20,7750,10165,18257,60,36232,9303,26929,0,0,26929,-9243
2022/10/21,7359,9852,18660,42,35913,8602,27311,0,0,27311,-8560
2022/10/22,8044,9828,16785,21,34678,9260,25417,0,0,25417,-9240
2022/10/23,8603,9750,17261,0,35614,8926,26688,0,0,26688,-8926
2022/10/24,9401,7816,15376,0,32593,9602,22991,0,0,22991,-9602
2022/10/25,8147,1912,16776,10,26846,5872,20973,0,0,20973,-5862
2022/10/26,8480,1888,16266,12,26647,5890,20756,100,0,20856,-5878
2022/10/27,7689,1870,15646,31,25236,5626,19610,300,0,19910,-5595
